Tweet ID,Full Text,Mask Sentiment,Language
1256336344386691078,Above the rules?Who does things like this? Mask don’t bask. https://t.co/eZEYQ3iy72,Pro-Mask,English,
1279257276126236675,it's mandatory in my county to wear a mask now so it's @iamamerrickan time &lt;3 ps so many people think this is a mask celebrating america LMFAO bro do i have news for y'all https://t.co/c7a6GWYM8a,Pro-Mask,English,"seems anti-mask, but implies they're wearing one anyways"
1293502559324262400,On not wearing face masks: “This is about a sickness that is far more pervasive than the coronavirus: the belief that one’s comfort is more important than someone else’s life.” Let’s do the right thing. #staysafe ⁦@washingtonpost⁩  https://t.co/tVdS6ujgBo,Pro-Mask,English,
1293396394133164032,@WimRay @radionz Just nicely show them the sign saying they should wear a mask (in the elevator or public transport),Pro-Mask,English,
1279512362077138944,"@texmed A for effort, but incomplete. You don't mention the word 'mask' once.  So are these backyard bar-be-ques with or without masks? Hair salon visits, with or without masks? Also, @CDCgov says lap pools are okay. https://t.co/pVaJ0cT5oG",Pro-Mask,English,
1279113751174811648,"...and educated folks will have to shop for essentials next to this infected trash...who refuse to wear masks 

Texas GOP Votes to Hold In-Person Convention, Rejecting Coronavirus 'Horse Sh-t': VIDEO https://t.co/b9NW0PMhf1 via @tlrd #COVIDー19 #COVID #PutinsGOP",Pro-Mask,English,
1295492781968961538,"We can never beat this virus without a vaccine, we can only fight it. Wear your masks and 6FT, people. https://t.co/Y0mbizIImc",Pro-Mask,English,
1293295100043448326,"I’ll say it now, if you don’t wear a mask into businesses and around people while in tight quarters, you are a fucking ass hole",Pro-Mask,English,
1283927148403634176,"Wear your mask, wash your hands frequently, and stay home as much as you can. https://t.co/CrUSLxrCtq",Pro-Mask,English,
1281319864662097920,"Hey idiots,

Wear

A

Mask.",Pro-Mask,English,
1298412623160107008,"I’m on one today, so one last thing-
Stop sharing shit about “medical reasons to not wear a mask”.
I’m asthmatic, carry an inhaler and have severe anxiety but howdy-ho, here I am wearing my mask for my 10 hour shift + anytime I go out. It’s also wrong to fake medical conditions🤙🏼",Pro-Mask,English,
1298737371022675968,@nycgov maybe let us stay home instead of forcing us to work and we won't catch the disease that you boomer-ass shitheads keep spreading by not wearing a damned mask or washing your damned hands,Pro-Mask,English,
1295584977157943297,"#Maskup india.. ye mask wali azadi chutiyape se door rhe.. ik bar corona ho gya, toh ye sale koi nahi aayega..so wear mask. https://t.co/16SyQOxWhb",Pro-Mask,Multiple,
1295426374572941313,"So tomorrow I go for a date post lockdown restrictions eased. I'm guessing the etiquette is to wear a face covering. 😉 Seriously though, trying to book a table for 2 on a Monday to Wednesday in the UK is a challenge. 👌",Pro-Mask,English,
1275662810299719684,"@GovInslee inslee you are the biggest fucking pussy ive ever seen, ill bet you all those freeloaders in the CHOP arent social distancing and wearing masks, yet your pussy ass allows them to be there, fuck you, fuck you mask, and fuck your mother",Pro-Mask,English,
1275425283911438337,"Heading out? Don't forget your mask! 😷 Face coverings are required in the City of Tampa in indoor public spaces when not able to maintain social distancing. 

Visit https://t.co/EvufYV87SO for full details and call 1 (833) TPA-INFO for questions &amp; concerns. https://t.co/8ubKZw3DJa",Pro-Mask,English,
1300053321323917312,"I just wanna put a smile, under the face mask that you wear",Pro-Mask,English,
1235979234759168000,"@samuelreffe @GretaThunberg @lesoir Lovely demonstration for the fate of our future. 😊 But you should wear a mask to make sure you have a future in the first place. The coronavirus is deadly. 😷

#COVIDー19 #WuhanPneumonia",Pro-Mask,English,
1271328729541652482,“face masks reduce the daily growth rate of reported infections by around 40%” https://t.co/elXJoozP2z,Pro-Mask,English,
1286829849420664832,@HONEYURlS it wouldn’t hurt wearing a mask if anything just for the first day but if u take it off carefully u would be fine!! i don’t wear makeup often so idk abt that one but... it Can be done,Pro-Mask,English,
1261557279922536448,800 million yen bill for defective face masks to battle COVID-19 : The Asahi Shimbun - Asahi Shimbun https://t.co/2mgm7scLmL,Pro-Mask,English,
1279691632347054081,@BorisJohnson Proud to be an NHS Nurse for 31 years. Remember it’s not the government putting the NHS at risk. It’s the ignorant asshats that think they know better and flout the rules. Wear a flipping mask people. Enjoy a pint and then take your ass home.,Pro-Mask,English,
1255690166292942855,"10,000 health workers have been infected by coronavirus so why are @Amazon @usbank @3m are holding up the production of millions of face masks and gloveshttp://sumof.us/632024773t?referring_akid=73094.1047384.Je0Pyo&amp;referring_source=fwd",Pro-Mask,English,
1283666252796313600,Like I just remembered that a server in Dallas had to sue Hillstone restaurant group back in May in order to be allowed to wear a mask... to protect customers. This country is straight up exhausting.,Pro-Mask,English,
1260433495375126533,"#mask4all #cubrebocas
Por favor, deposita el #cubrebocas en el lugar adecuado 🗑️ https://t.co/yv9EREW2jK",Pro-Mask,Multiple,
1287064735645458432,DEAR MAKER: Homemade-CLOTH FACE MASK need yo be safe to wear by USER #Covid_19 #facemask https://t.co/IyVdycJETe,Pro-Mask,English,
1294654457322467328,"PROMO MERDEKA 'Malaysia Prihatin' 🇲🇾

COVID KIT: Mask 3 Ply bersama filter

Setiap Kit mengandungi:
1) Mask (dengan poket filter)
2) Filter (10 keping)
3) Alcohol Wipe (75% alcohol)
4) Extender mask 

1 Kit: RM28 (excluding postage)
PROMO 2 Kit: RM50 (excluding postage) https://t.co/z7QDFkEUI3",Pro-Mask,Multiple,ad
1272603677807841280,"@MagicallyMissy I think if you’re taking precautions like wearing a mask properly, washing your hands often and social distancing that’s fine. Unfortunately I’m back at work and I needed to ween myself back to normalcy because I was so overwhelmed by the thought of being around people again.",Pro-Mask,English,
1242031556941811712,"Millions of masks, COVID-19 test kits supplies donated by China's Jack Ma Foundation to 54 African countries  arrived on Sunday morning in Addis Ababa,Ethiopia.
They include 5.4 million face masks, kits for1.08 million detection kits, and 40,000 sets of protective face shields. https://t.co/lBM7MN8jXH",Pro-Mask,English,
1300458145421160449,@tldtoday I wear a mask to make others happy. Not for me because I know it isn’t very effective.,Pro-Mask,English,
1237126675177050113,@Acosta @RepMattGaetz you should have worn the gas mask to CPAC vs congress ya dope. The @GOP &amp; @realDonaldTrump were yuking it up regarding the coronavirus last week and this week heading to quarantine (probably cause they don't do anything anyway),Pro-Mask,English,
1289180181983199232,"You denied it was a thing for the longest time and it took 150,000 dead Americans for you to wear a mask. https://t.co/qMPldIkhej",Pro-Mask,English,
1277525338915057666,"I can see some masks, and I can see some people doing without. It's clear by now that the various protests of the last two months have invalidated efforts to flatten the curve. Casual disregard is everywhere. https://t.co/COatYSTUSX",Pro-Mask,English,
1284792262245912578,".@camillalong Genuinely, what is your problem? You’d rather pass the virus on to the vulnerable than give some form of protection? QUALIFIED DOCTORS, NURSES &amp; SCIENTISTS ARE SAYING TO WEAR A MASK 🤷🏻‍♀️ https://t.co/AO9pNWFcdG",Pro-Mask,English,
1283845135718113282,@adrelo78 I’m sick and tired of “experts” telling me not to wear a mask. If you’re not in the medical profession PLEASE STFU.,Pro-Mask,English,
1260673284435324928,"Did a ride-a-long with boyfriend to give him company as he returned and shipped some items to people via UPS. Across the way is a Kroger, and omg the parking lot is PACKED but also more importantly only 1/3 of the people going ok have masks. 1/3!! WTF people. #COVID19 #COVIDIOTS",Pro-Mask,English,
1277833272530096128,"@AlyceLMiller @csmatteson @WSJ ..professionals with the expertise to deal with a woman’s reproductive health. If the idea is saving lives, how can we regulate a woman body but not properly regulate firearms, mask wearing during COVID19, or make healthcare a human right in the US?",Pro-Mask,English,
1245945543630692352,Hunting down masks in a volatile pandemic market - https://t.co/mSMXpGn34U #VIXC #LatestComments,Pro-Mask,English,
1298403967488217088,"@ReaganBattalion @mschlapp TRUMP'S AMERICA. Dumb fucks who won't wear masks and think covid is a plot. By the way, you idiots, Biden isn't president. https://t.co/nOxWnunddK",Pro-Mask,English,
1270072803715416064,@theobserver Tried to tell you that masks and social distancing was necessary and you wouldn't listen. So now we all get put in time out because you couldn't act like an adult.,Pro-Mask,English,
1289298495438905346,@DannyDonnelly1 @TheRinkha Sammy Wilson @eastantrimmp #DUP does have a thing about clothe - he doesn't like covering up!  #WearAMask,Pro-Mask,English,
1291419210401353728,#WearAMask #TrumpVirus2020 https://t.co/er44GvXzlE,Pro-Mask,English,
1294651857667788800,"Our Virtual Drop In Center registration begins next week! What we will require:
✅ Students must wear a mask at all times (outdoor breaks between class)
✅ Must be a @NorristownASD student entering grades K - 9
✅ Bring your own Chromebook and headphones.",Pro-Mask,English,
1251725554899996674,Stylish Leopard Print Brown Black Personalized Cloth Face Mask https://t.co/aZ462ym9l6 via @zazzle #mask #coronavirus #StaySafeStayHome #facemasks #covid19masks,Pro-Mask,English,
1287904383674408960,"I am so disappointed with how Heritage’s walkthrough went today. There was no social distancing in line, many students were not wearing masks, and the wait was about 3 and a half hours long in almost 100 degree weather.",Pro-Mask,English,
1275828868813713408,"No social distancing, no masks, total trash. https://t.co/2Pq2VXGKyU",Pro-Mask,English,
1287168313433509890,Mask Up: Both American and Southwest announced they are expanding their face covering policies next week requiring all customers above the age of 2 to have a mask. All carriers say they may refuse transport and restrict future travel privileges if passengers don't wear a mask. https://t.co/RDepNZYlg2,Pro-Mask,English,
1258501830092288000,Went to Walmart today and saw people who were shopping but wasn’t wearing masks..... stay tf home or at least wear a mask if you’re going out,Pro-Mask,English,
1222744010726359040,"Donating 100,000 face masks to Hubei Province, China https://t.co/AwshTypoCN via @YouTube",Pro-Mask,English,
1297271842164445184,"this trumper is literally making threats of violence at me for suggesting he should wear a mask, definitely part of a well regulated militia XDDD https://t.co/i7Xm4eH4Pq",Pro-Mask,English,
1273303654750130179,"File under: DUH. 

#WearAMask 
#COVID19 

https://t.co/E4qfY6NtsA",Pro-Mask,English,
1282337372353564673,Why do surgeons wear masks? A 1975 paper on mask efficacy.  The message is clear-Wear masks to stop the spread of infection! https://t.co/OuRihYTxdS,Pro-Mask,English,
1294121222746210304,@IAmJericho only thing better than that might be not throwing a concert with no masks or social distancing,Pro-Mask,English,
1287465265962323975,"@carmelo69696969 @ColdironTc @Mathieu_Era Why don’t you let the district do it’s thing. I bet the view from the cheap seats is pretty good isn’t it? I trust Bedell &amp; the district to do this right because so far they have. Oh, and I really don’t need you telling me what you think my kids need at their school. Wear a mask",Pro-Mask,English,
1282637449152299009,"Happy New Week!
#WearAFaceMask #StaySafe #SocialDistancing
#Swifno #SwifnoMobileApp #ChoiceandConvenience #Download #PlayStore #iOSAppStore @trafficbutter @Gidi_Traffic @AON_dofa @ugonalis @i_am_nonni @CharlieCaker @Kriss__Urban @segalink @renoomokri @devylawyer @NkemjikaEsther https://t.co/dRcdlqVbVS",Pro-Mask,English,
1253116629375840256,"This is RIDICULOUS!
The Policies put this Womans Children in serious Danger!
Obviously the Officer was not careful about Social Distancing he was touching her inorder to Handcuff her!
He had NO Protection NO Masks, NO Gloves, NO Gown &amp; NO face shield!
Maybe he should be Arrested! https://t.co/yrq8ex1C62",Pro-Mask,English,
1300543986017337344,"@AnnaWin43975289 @rustysaddle and the whole point is that you wear a mask to protect other people who may be at risk or serious illness or worse. So no, it’s not fine.",Pro-Mask,English,
1276352718525935617,"@GovMikeDeWine With all due respect, sir: we need to institute mandatory wearing of face masks. Almost 4 months into this pandemic, I still see too many people putting the rest of us a greater risk by not wearing one.",Pro-Mask,English,
1265783515754295297,"He wasn't wearing one today, but I would love to put an N95 mask on @senatemajldr",Pro-Mask,English,
1291032251887693824,"Why are you tempting fate... wear a fucking mask 😷 

Covid19 is still a thing, there is no antivirus for it, no medication... 
🦠🧫🔬😳",Pro-Mask,English,
1236138104655761414,"#Italy - 450 health workers in the Veneto region have been in quarantine.
#WashingtonState #seattlecovid19 please note. Restricting use of masks to health workers put them and their patients at risk.

#COVIDー19 #COVID19italia #Coronavirusitaly #Covid19usa",Pro-Mask,English,
1295951523885850624,"Today, Thursday 19th This is the second day of a two day exhibition and sale of Persian carpets and teak furniture at the Town Hall. Opening at 10am Note- facemasks should be worn in the Town Hall, and the toilets are not available due to COVID restriction https://t.co/pTY8FMtd5S",Pro-Mask,English,
1298913640410742786,"@DanaBouwman @drdeblk @JamieRJN @karensue30 @MickyBell @ProudAmerican82 @DanScavino @Mike_Pence @KarenPence @realDonaldTrump @FLOTUS At least know what you are talking about before you comment. 2 million was the predicted death rate if literally nothing was done to slow spread. So no lockdown, no masks, no distancing.",Pro-Mask,English,
1280243646756016129,If you don't want to wear a mask stay your ass home and order online we don't need to catch your stupidity and retardation,Pro-Mask,English,
1271088966897262592,"@joshtigerhill Today's high is supposed to be 108°.
Again. And yes, the city is infested with covid. No one except the protestors are masking up, and the bars are serving hotpockets so they can skirt the law and become ""restaurants"" and stay open. https://t.co/1Nz77n7m3O",Pro-Mask,English,
1279066146512285703,Broward residents hope mask order helps slow coronavirus spread in county https://t.co/ioYeMfrLv9,Pro-Mask,English,
1297373035138359297,@vvdouger @MichelleMThomas @ssmidt @Argus911 @DakotaState You can’t be serious. Don’t do this to yourself! Give me one source that definitively states mask’s ineffectiveness in helping prevent COVID-19.,Pro-Mask,English,
1290432668811886593,"YES! If we don't get the help we need to flatten the curve, FINE! Fine EVERY bonehead out there! #Houston #Texas #maskup #maskuphou https://t.co/okQgvKGVyr",Pro-Mask,English,
1297376099987595265,"Don't visit Mom?

COVID Patient's to Nursing Homes?

Should gave enforced Fask Masks?

Leadership? https://t.co/MKzHYCJ1Yh",Pro-Mask,English,
1233834341987319808,"@KHerriage Trump saying CV is a hoax just sealed his fate. Now the extreme left will get their chance, yikes! CDC telling US citizens not to buy masks so health care folks have some. Talk about being unprepared, wow!",Pro-Mask,English,
1275902379536220161,"#DoTheRightThing
#WearAMask or stay home https://t.co/IWPzpwbfMi",Pro-Mask,English,
1287081347400572930,"@samsmooth23 I wear a mask where I have to..
But I’m defending the right for people not to be abused or challenged by strangers.

That’s what the tweet says",Pro-Mask,English,
1286500165805838336,@davenewworld_2 Why do people go crazy just because they are supposed to wear a mask in a building?  I can not comprehend that.  they act like zombies,Pro-Mask,English,
1274408359798554625,"Arizona COVIDIOTS Now battling COVID-19, Pinal County Sheriff Mark Lamb says he'd ""do things differently""
#COVIDIOTS #Arizona #MaskUpArizona #SheriffLamb #YouCantFixStupid  https://t.co/TaJholCO2v",Pro-Mask,English,
1221308628923084801,"Fourth coronavirus case confirmed in Johor by the Health Ministry! 😷

Please wear a mask and stay safe everyone!

Follow us on Facebook and Instagram 👉 @actnowtroopermy

ACTnow available on App Store (Apple) &amp; Play Store (Google)

https://t.co/oxCML1t6cu",Pro-Mask,English,
1291366720297480192,"Please note that this does not replace the other steps you need to be taking. You should still be social distancing, wearing a mask, and keeping your groups small.",Pro-Mask,English,
1223776112750333953,@PeterSweden7 @Sobroski1982 Can someone tell me why all the coach drivers of the potentially infected people from China being driven to the wirral were not wearing and protective clothing or face masks? https://t.co/lfBg8l9olN,Pro-Mask,English,
1251318283451674631,@GovMurphy Enough! Open the state people are starving wear masks and gloves and lets get back to living this is never going away we cannot stay home forever,Pro-Mask,English,
1281916021067190272,"- ""Brits will never accept lockdown""
- ""Masks are counterproductive bc they provide a false sense of security""
- ""People will be upset if they can't get their week on a Spanish beach this summer""

Strong unfounded assumptions about public opinion/behaviour ➡️ botched response. https://t.co/f2v6v7IHva",Pro-Mask,English,"assumptions led to bad response, suggesting that they think the opposte of the assumptions"
1278795727607681036,"@THEHermanCain Funny, you forgot to mention

WEAR A FUCKING MASK",Pro-Mask,English,
1277663188008546305,Even vacation bears wear one. #wearamask https://t.co/Jh54FYr9w9,Pro-Mask,English,
1252738264399859713,"@SpeakerPelosi &amp; @SenSchumer never budgeted for a Pandemic in 30 plus yrs in Congress

@TheDemocrats have blood on their hands

On top of which @JoeBiden &amp; @BarackObama never re-stocked the #NationalStockpile
Of #N95masks after #H1N1 in 2009

This is Criminal 

@MN2APatriot357 https://t.co/bWhO6yYdZ0",Pro-Mask,English,"criticizing former president, but seems like it's pro mask (criticizing them for not restockpiling masks("
1295474037657866246,"The virus is all on Trump. I urge you to stop drinking the Trump Virus Kool-Aid and instead listen to the scientists and medical professionals.

His leadership and handling of  COVID-19 is abysmal. Put on a mask, social distance, and wash your hands and ass!! #TrumpVirus https://t.co/8njDnonXfL",Pro-Mask,English,
1297703332887355392,"@ChrisDesMooney2 @PhillipConway @Koolimix @business You know what won’t help? People in large crowds regardless of mask wearing or not. :)
Also masks aren’t to protect ourselves but to protect others https://t.co/P57CurA3FF",Pro-Mask,English,
1233693145122168833,"#CoronavirusOutbreak prevention is better than cure !!
The most important factor in airborne viral infection prevention is wearing masks in crowded places , airports and regular washing of hands after every hour .. let’s join government in efforts @zfrmrza #PTIGovernment #Corona",Pro-Mask,English,
1252634879595958272,@DelhiPolice Stay home stay safe. Keep  safe distance and use mask in case one will have to go outside. Jai hind,Pro-Mask,Multiple,
1227620568171675650,"Masks sold-out! 😱
Who cares? 😕
Get this! 😮
More safer! 😁

#COVID19
#CoronavirusOutbreak
#coronavirus https://t.co/4cuJyYaRo5",Pro-Mask,English,"ad for new ""mask like product"""
1286444293020880899,Hey @realDonaldTrump I hear you’re coming to NC tomorrow. Remember to bring your mask. Our very fine Gov. Cooper (a real leader in the battle against the #TrumpFlu) has issued a statewide mandate. Don’t let us down by refusing to wear one!,Pro-Mask,English,
1263627161098993664,if a boy says wearing a mask and social distancing is bullshit chances are the only thing big about them is their ego,Pro-Mask,English,
1270818521346445312,"@jio_oii @CTVToronto Call me out for posting SCREENGRABS of RESEARCH &amp; STATS CANADA official numbers.

I demand the same proof:
""Do your own research.""

Enjoy your lockdown.
STAY HOME.
WEAR A MASK.
Get the Vaccine! https://t.co/ZinuPOcS9D",Pro-Mask,English,
1286952944471085056,@internetanja Tell them yo wear a fuckin mask 😤,Pro-Mask,English,
1293293757635289088,@jcoff574 @yungshingle @jjlong18 @max__rosie Stfu and wear a mask you clown. You a football fan? Well stupid ass people like you are the reason why the season’s getting cancelled,Pro-Mask,English,
1279014312917512192,@Sentletse South African psyche cannot comprehend the importance of consistently utilizing the mask &amp; maintaining a 1.5metre distance safety measures even after 3months of lockdown. They only wear masks &amp; sanitize where they're refused entrance for not complying.,Pro-Mask,English,
1288720554686427136,@priyankinfinnov @priyank_mshr Gram panchayat secretaries register death and birth of their villagers within 21 days . Villegers are visiting panchayat offices for thier work without any fear of covid-19 and they are using mask and maintaining social distance.,Pro-Mask,English,
1258488462619086852,I don’t even care if you’re being sarcastic. They’re a great idea because virus’ tend to die slower indoors. The mask itself prevents some fluids that could naturally escape during talking/breathing and being actively able to infect others. Not all of us know if we’re infected. https://t.co/ktdvWaiUBq,Pro-Mask,English,
1253945842295177217,iQUOTE:Masks go Fashionable &amp; therapeutic even:https://t.co/iRVg4EueSV  #Masks #Covid19 #Tiruppur #Outlook,Pro-Mask,English,
1269816269886218240,He’s a complete fraud and a total failure. He should #resign @SenMcSallyAZ @GOP @SenateGOP @dougducey @RepDavid #TrumpVirus #coronavirus #failure #TrumpLiesAmericansDie #MAGA #WearAMask https://t.co/nx3uu20DEe,Pro-Mask,English,
1274873704615481345,"@JoeBiden @Mark_Sheppard none of the people at the rally are wearing masks, nor are they social distancing. why is Trump having a rally without any precautions! He is a clown",Pro-Mask,English,
1279563651716874243,"@duganaok @atrupar But you don’t think if the president had been standing there asking Americans to wear a mask, keep their distance and be sensible instead of making it sound like nothing was wrong. Claiming it would go away and calling it a hoax more people would have taken it seriously?",Pro-Mask,English,
1239555080514306048,"A friend's mom made this nifty face mask for me. I don't leave my house anyway, but I'll wear it because obviously. #me #bellablitz #coronavirus https://t.co/WiNtDGoNAb",Pro-Mask,English,
1285088970385379328,People be like “DON’T FALL FOR THE COMMUNISTS TRYING TO TAKE AWAY YOUR RIGHTS BY MAKING YOU WEAR A MASK” and then fall for a #FreeiPhone11Pro,Pro-Mask,English,
1277825392573706240,"#coronavirus 
#California 
#WearTheDamnMask https://t.co/8NLB9qjqby",Pro-Mask,English,
1288243521925914626,"Hey, remember that post from medical personnel helping teachers know what they needed to stay as safe as possible in their classrooms? Turns out Tarrant County teachers DO need that after all. I remember five N95 masks. What else was there? #teacher #Texas @ASlavitt",Pro-Mask,English,
1295254830135435265,@kristoncapps @AsterZephyrIsis Putting workers in front of people who aren’t wearing masks (hey!we might be eating and/or drinking in the next 30 minutes!) puts them at a high risk for getting COVID. One exposure can put them out of work for 14+ days.,Pro-Mask,English,
1233882947054424065,"Got some n100 and n95 mask and sanitizer and wipes today. Will collect water and food and currency. Already sold some small stocks for more cash. This thing could change families, could change communities, could decimate even nations of unprepared. Or, come Spring, could fizzle",Pro-Mask,English,
1235273975334395906,"Want to protect yourself from the #Coronavirus, yet still cut a dash on public transport? Then why not invest in a General IMmune Protector mask? Upgrade to the full suit for a free chain which attaches to the handrails. https://t.co/RrHIHvt9wy",Pro-Mask,English,
1281883582907265025,At this rate the virus just won't fucking end #StayHome #WearAMask https://t.co/pLd3B6EHzu,Pro-Mask,English,
1242369517507858433,"cleaners to come daily. they have not even provided masks and gloves to these workers. these workers are also humans. if it is a complete lockdown, how come the mgmt has asked workers to come daily.

please take quick and strictest action.",Pro-Mask,English,
1282566456962699269,"One can even wear a mask while heavily exercising. I just switch to a thin-layered one with not such a thick filter. It has a filter, but not as thick. 😷",Pro-Mask,English,
1270663537715826690,Does lockdown entail boys playing football on the street without their masks? @KolkataPolice @MamataOfficial,Pro-Mask,English,
1272347723300208642,@SHNDY1312 Wow you're in lockdown still? TX pretending it's never heard of the virus 😷 I swear we're all gonna die.,Pro-Mask,English,
1287452132346679298,"Can corona go away for like a week? Like can we have an intermission? I’ve been praticing social distancing and wearing my masks. I just need to “aaaaaayeeee” one good time, safely. 🥺",Pro-Mask,English,
1276204683577585664,"@ananavarro Lord have mercy.... The ""All Lives Matter"" crew refusing to wear masks...so I guess all lives matter except yours and mine. Social Darwinism conjoined with stupidity equals our covid stats",Pro-Mask,English,
1298550873812017154,@Education_NI @niexecutive Idiotic and extremely dangerous decision https://t.co/qunAUfsARP @RobinSwannMoH @moneillsf @DUPleader seems like you are encouraging the spread of the virus. #Masks #NorthernIreland #Covid19UK #coronavirus #Covid_19 #armagh #Belfast #Derry #newry #antrim,Pro-Mask,English,
1290339996147253248,"Good morning! Another week has begun, and so another reminder to #wearyourdamnmask to help fight #covid19!!
#wearyourmask😷 
#dontbeselfish 
#thinkofothers @ Los Angeles, California https://t.co/dpOV2xguvU",Pro-Mask,English,
1287799307555536896,"When you buy one I Wear I Care mask, one will be donated to a community member in-need. #iwearicare #parkdaleppe https://t.co/wfm1T6zuLP https://t.co/LfjBy8JRVs",Pro-Mask,English,
1274244838779740160,This is heartbreaking.  Just wear your (fresh/washed) bloody mask over your mouth &amp; nose NOT down your chin like an accessory when you are shopping or near others.  Have compassion for all of those who may unknowingly be more vulnerable.  The pandemic is by no means over yet. https://t.co/DqlNGTOqTg,Pro-Mask,English,
1270409213156577285,"Meet community member and co-organizer of our Community Care event, Angeilea! Join our outdoors &amp; online healing event in person at Seward Park or online on Zoom 384 426 4192  *we will be wearing masks and practicing social distancing* 

#BlackLivesMatter  https://t.co/iUteLlup1D",Pro-Mask,English,
1233236895662051329,"@JoyceWhiteVance Bet Trump does not have plans for enough face masks to go around in case we see a major outbreak. Nope, not in his plans but I am sure he will stockpile them for himself.",Pro-Mask,English,
1292793461075087361,“Coronavirus: Face masks mandatory in busy Paris outdoor areas as new cases rise | Euronews https://t.co/qiVW9ZIb99,Pro-Mask,English,
1279154432903708678,1) This is sacred land for the Lakota. We stole their land. 2) It's incredibly dangerous to hold a fireworks show on this land. 3) It's stupid to gather a group of people during a pandemic and not require masks. 4) It was sculpted by a KKK member. 5) It's a terrible sculpture. https://t.co/HGJ3fSoRpc,Pro-Mask,English,
1283881106744291328,@WhiteHouse Does that include stealing data  hiding numbers attacking the cdc pulling out of who during a WORKD! health crisis not writing masks wanting to endanger teachers and students and pretending there’s no virus. Yah your plans to make us 3rd world Country are going swimmingly,Pro-Mask,English,
1284583987701317632,"TAKE.
THIS.
VIRUS.
SERIOUSLY.

Freeman, 30, is a healthy professional baseball player and he has been extremely effected by this to say the least. Anyone could get it, please wear a mask and be safe. https://t.co/79IAA8q6Pv",Pro-Mask,English,
1292020075159928833,"And we have to tought it out cuz this virus is fucking scary. The full on effects are still unknown and people who show ZERO symptoms can still be infected. If you're going out, please wear a damn mask! Especially if you're only gonna buy a beer and some chips",Pro-Mask,English,
1262917097933492224,"I knew there was a reason I loved Costco!

#Costco
#WearAMask
#SocialDistanacing 
#FlattenTheCurve https://t.co/Ci5neokdtD",Pro-Mask,English,
1245163679059980294,"The “My Pillow Guy” is actually contributing. Helping people. He’s converted his manufacturing plant to making masks for first responders. But keep being a petty, spoiled-dickless celeb on twitter. #WuhanVirus #COVID19 https://t.co/6mQ4BtGsLx",Pro-Mask,English,
